Image_Name,Predicted_Category
363.png,Hyena
364.png,Tapir Calf
365.png,Giraffe
366.png,Jaguar
367.png,Hyena
368.png,Hyena
369.png,Deer
37.png,Tapir Calf
370.png,Hyena
371.png,Jaguar
372.png,Tapir Calf
373.png,Cheetah
374.png,Leopard
375.png,Deer
376.png,Deer
377.png,Tapir Calf
378.png,Deer
379.png,Jaguar
38.png,Hyena
380.png,Jaguar
381.png,Jaguar
382.png,Tapir Calf
383.png,Jaguar
384.png,Deer
385.png,Hyena
386.png,Hyena
387.png,Whale Shark
388.png,Deer
389.png,Giraffe
39.png,Tiger
390.png,Hyena
391.png,Giraffe
392.png,Jaguar
393.png,Tiger
394.png,Hyena
395.png,Hyena
396.png,Jaguar
397.png,Tapir Calf
398.png,Zebra
399.png,Tapir Calf
4.png,Hyena
40.png,Giraffe
400.png,Tapir Calf
401.png,Hyena
402.png,Tiger
403.png,Hyena
404.png,Hyena
405.png,Cheetah
406.png,Hyena
407.png,Jaguar
408.png,Hyena
409.png,Deer
41.png,Cheetah
410.png,Tapir Calf
411.png,Tapir Calf
412.png,Hyena
413.png,Hyena
414.png,Tiger
415.png,Giraffe
416.png,Giraffe
417.png,Giraffe
418.png,Hyena
419.png,Hyena
42.png,Leopard
420.png,Deer
421.png,Zebra
422.png,Tiger
423.png,Tiger
424.png,Giraffe
425.png,Hyena
426.png,Zebra
427.png,Tiger
428.png,Leopard
429.png,Hyena
43.png,Leopard
430.png,Cheetah
431.png,Tapir Calf
432.png,Cheetah
433.png,Zebra
434.png,Leopard
435.png,Hyena
436.png,Hyena
437.png,Tiger
438.png,Tapir Calf
439.png,Tapir Calf
44.png,Hyena
440.png,Giraffe
441.png,Hyena
442.png,Tapir Calf
443.png,Deer
444.png,Giraffe
445.png,Giraffe
446.png,Tapir Calf
447.png,Hyena
448.png,Hyena
449.png,Tapir Calf
45.png,Giraffe
450.png,Deer
451.png,Tapir Calf
452.png,Giraffe
453.png,Whale Shark
454.png,Deer
455.png,Hyena
456.png,Hyena
457.png,Giraffe
458.png,Tiger
459.png,Tiger
46.png,Leopard
460.png,Leopard
461.png,Deer
462.png,Tapir Calf
463.png,Cheetah
464.png,Tapir Calf
465.png,Hyena
466.png,Giraffe
467.png,Hyena
468.png,Deer
469.png,Deer
47.png,Hyena
470.png,Giraffe
471.png,Cheetah
472.png,Tapir Calf
473.png,Deer
474.png,Giraffe
475.png,Deer
476.png,Hyena
477.png,Hyena
478.png,Hyena
479.png,Deer
48.png,Giraffe
480.png,Tapir Calf
481.png,Leopard
482.png,Hyena
483.png,Tiger
484.png,Giraffe
485.png,Hyena
486.png,Tiger
487.png,Giraffe
488.png,Tiger
489.png,Hyena
49.png,Giraffe
490.png,Tiger
491.png,Tiger
492.png,Hyena
493.png,Tiger
494.png,Giraffe
495.png,Giraffe
496.png,Hyena
497.png,Tapir Calf
498.png,Hyena
499.png,Zebra
5.png,Giraffe
50.png,Tiger
500.png,Hyena
501.png,Hyena
502.png,Giraffe
503.png,Giraffe
504.png,Whale Shark
505.png,Tiger
506.png,Leopard
507.png,Hyena
508.png,Tapir Calf
509.png,Hyena
51.png,Tiger
510.png,Giraffe
511.png,Jaguar
512.png,Giraffe
513.png,Giraffe
514.png,Giraffe
515.png,Deer
516.png,Leopard
517.png,Giraffe
518.png,Hyena
519.png,Hyena
52.png,Giraffe
520.png,Deer
521.png,Giraffe
522.png,Tiger
523.png,Hyena
524.png,Leopard
525.png,Whale Shark
526.png,Hyena
527.png,Zebra
528.png,Whale Shark
529.png,Jaguar
53.png,Hyena
530.png,Giraffe
531.png,Giraffe
532.png,Deer
533.png,Deer
534.png,Hyena
535.png,Giraffe
536.png,Jaguar
537.png,Giraffe
538.png,Giraffe
539.png,Zebra
54.png,Giraffe
540.png,Tapir Calf
541.png,Tiger
542.png,Hyena
543.png,Zebra
544.png,Tiger
545.png,Deer
546.png,Tapir Calf
547.png,Deer
548.png,Giraffe
549.png,Tiger
55.png,Hyena
550.png,Giraffe
551.png,Tapir Calf
552.png,Zebra
553.png,Giraffe
554.png,Giraffe
555.png,Tapir Calf
556.png,Jaguar
557.png,Tapir Calf
558.png,Deer
559.png,Whale Shark
56.png,Tapir Calf
560.png,Hyena
561.png,Tapir Calf
562.png,Hyena
563.png,Hyena
564.png,Deer
565.png,Hyena
566.png,Cheetah
567.png,Hyena
568.png,Hyena
569.png,Hyena
57.png,Leopard
570.png,Jaguar
571.png,Giraffe
572.png,Zebra
573.png,Hyena
574.png,Hyena
575.png,Giraffe
576.png,Tiger
577.png,Deer
578.png,Tiger
579.png,Deer
58.png,Deer
580.png,Hyena
581.png,Hyena
582.png,Deer
583.png,Tiger
584.png,Giraffe
585.png,Deer
586.png,Hyena
587.png,Hyena
588.png,Hyena
589.png,Tapir Calf
59.png,Jaguar
590.png,Hyena
591.png,Tapir Calf
592.png,Deer
593.png,Tapir Calf
594.png,Giraffe
595.png,Giraffe
596.png,Tiger
597.png,Tapir Calf
598.png,Hyena
599.png,Giraffe
6.png,Giraffe
60.png,Cheetah
600.png,Leopard
601.png,Tiger
602.png,Giraffe
603.png,Hyena
604.png,Hyena
605.png,Tiger
606.png,Tiger
607.png,Tapir Calf
608.png,Tapir Calf
609.png,Hyena
61.png,Deer
610.png,Tiger
611.png,Giraffe
612.png,Deer
613.png,Hyena
614.png,Tiger
615.png,Hyena
616.png,Hyena
617.png,Hyena
618.png,Giraffe
619.png,Tiger
62.png,Tiger
620.png,Tiger
621.png,Zebra
622.png,Leopard
623.png,Tiger
624.png,Giraffe
625.png,Deer
626.png,Giraffe
627.png,Giraffe
628.png,Hyena
629.png,Jaguar
63.png,Hyena
630.png,Hyena
631.png,Deer
632.png,Tiger
633.png,Tiger
634.png,Giraffe
635.png,Tapir Calf
636.png,Hyena
637.png,Tiger
638.png,Leopard
639.png,Tiger
64.png,Hyena
640.png,Tapir Calf
641.png,Zebra
642.png,Hyena
643.png,Tiger
644.png,Tiger
645.png,Leopard
646.png,Tiger
647.png,Leopard
648.png,Giraffe
649.png,Hyena
65.png,Giraffe
650.png,Giraffe
651.png,Giraffe
652.png,Tiger
653.png,Hyena
654.png,Giraffe
655.png,Tiger
656.png,Tiger
657.png,Hyena
658.png,Deer
659.png,Giraffe
66.png,Tapir Calf
660.png,Jaguar
661.png,Hyena
662.png,Hyena
663.png,Giraffe
664.png,Hyena
665.png,Giraffe
666.png,Zebra
667.png,Hyena
668.png,Hyena
669.png,Tiger
67.png,Jaguar
670.png,Zebra
671.png,Hyena
672.png,Tapir Calf
673.png,Giraffe
674.png,Tapir Calf
675.png,Hyena
676.png,Hyena
677.png,Deer
678.png,Hyena
679.png,Jaguar
68.png,Tapir Calf
680.png,Tiger
681.png,Tiger
682.png,Tapir Calf
683.png,Jaguar
684.png,Deer
685.png,Hyena
686.png,Jaguar
687.png,Zebra
688.png,Whale Shark
689.png,Giraffe
69.png,Tiger
690.png,Hyena
691.png,Leopard
692.png,Hyena
693.png,Tiger
694.png,Giraffe
695.png,Jaguar
696.png,Giraffe
697.png,Tapir Calf
698.png,Hyena
699.png,Tapir Calf
7.png,Tiger
70.png,Tapir Calf
700.png,Zebra
701.png,Tapir Calf
702.png,Deer
703.png,Hyena
704.png,Deer
705.png,Leopard
706.png,Hyena
707.png,Jaguar
708.png,Tapir Calf
709.png,Giraffe
71.png,Leopard
710.png,Tiger
711.png,Tapir Calf
712.png,Zebra
713.png,Whale Shark
714.png,Hyena
715.png,Tiger
716.png,Tiger
717.png,Hyena
718.png,Tapir Calf
719.png,Deer
72.png,Jaguar
720.png,Jaguar
721.png,Hyena
722.png,Deer
723.png,Giraffe
724.png,Giraffe
725.png,Hyena
726.png,Tapir Calf
727.png,Hyena
728.png,Tapir Calf
729.png,Giraffe
73.png,Hyena
730.png,Cheetah
731.png,Deer
732.png,Cheetah
733.png,Giraffe
734.png,Jaguar
735.png,Hyena
736.png,Hyena
737.png,Cheetah
738.png,Leopard
739.png,Cheetah
74.png,Hyena
740.png,Giraffe
741.png,Giraffe
742.png,Giraffe
743.png,Hyena
744.png,Tiger
745.png,Deer
746.png,Deer
747.png,Hyena
748.png,Giraffe
749.png,Hyena
75.png,Deer
750.png,Tiger
751.png,Deer
752.png,Tapir Calf
753.png,Hyena
754.png,Hyena
755.png,Hyena
756.png,Cheetah
757.png,Jaguar
758.png,Tapir Calf
759.png,Leopard
76.png,Deer
760.png,Zebra
761.png,Hyena
762.png,Zebra
763.png,Hyena
764.png,Hyena
765.png,Hyena
766.png,Hyena
767.png,Hyena
768.png,Tapir Calf
769.png,Hyena
77.png,Tiger
770.png,Hyena
771.png,Tiger
772.png,Hyena
773.png,Hyena
774.png,Jaguar
775.png,Whale Shark
776.png,Tapir Calf
777.png,Hyena
778.png,Hyena
779.png,Cheetah
78.png,Jaguar
780.png,Giraffe
781.png,Whale Shark
782.png,Giraffe
783.png,Tiger
784.png,Hyena
785.png,Tiger
786.png,Jaguar
787.png,Zebra
788.png,Tiger
789.png,Giraffe
79.png,Tiger
790.png,Hyena
791.png,Tiger
792.png,Giraffe
793.png,Tiger
794.png,Giraffe
795.png,Hyena
796.png,Giraffe
797.png,Jaguar
798.png,Tapir Calf
799.png,Tapir Calf
8.png,Whale Shark
80.png,Hyena
800.png,Hyena
801.png,Tiger
802.png,Hyena
803.png,Tiger
804.png,Giraffe
805.png,Hyena
806.png,Zebra
807.png,Hyena
808.png,Giraffe
809.png,Giraffe
81.png,Tapir Calf
810.png,Giraffe
811.png,Giraffe
812.png,Tiger
813.png,Hyena
814.png,Jaguar
815.png,Tapir Calf
816.png,Giraffe
817.png,Tapir Calf
818.png,Giraffe
819.png,Tiger
82.png,Giraffe
820.png,Zebra
821.png,Jaguar
822.png,Zebra
823.png,Giraffe
824.png,Whale Shark
825.png,Tiger
826.png,Leopard
827.png,Hyena
828.png,Giraffe
829.png,Tiger
83.png,Tapir Calf
830.png,Jaguar
831.png,Tiger
832.png,Leopard
833.png,Giraffe
834.png,Hyena
835.png,Tapir Calf
836.png,Tiger
837.png,Deer
838.png,Whale Shark
839.png,Hyena
84.png,Jaguar
840.png,Hyena
841.png,Tapir Calf
842.png,Tapir Calf
843.png,Leopard
844.png,Hyena
845.png,Cheetah
846.png,Whale Shark
847.png,Hyena
848.png,Hyena
849.png,Tapir Calf
85.png,Tiger
850.png,Giraffe
851.png,Tapir Calf
852.png,Tapir Calf
853.png,Hyena
854.png,Tiger
855.png,Tiger
856.png,Giraffe
857.png,Tapir Calf
858.png,Leopard
859.png,Hyena
86.png,Cheetah
860.png,Giraffe
861.png,Deer
862.png,Giraffe
863.png,Tapir Calf
864.png,Tapir Calf
865.png,Tiger
866.png,Giraffe
867.png,Giraffe
868.png,Giraffe
869.png,Giraffe
87.png,Leopard
870.png,Hyena
871.png,Tiger
872.png,Tapir Calf
873.png,Deer
874.png,Tiger
875.png,Giraffe
876.png,Whale Shark
877.png,Zebra
878.png,Tiger
879.png,Tiger
88.png,Deer
880.png,Jaguar
881.png,Whale Shark
882.png,Giraffe
883.png,Hyena
884.png,Tapir Calf
885.png,Giraffe
886.png,Tapir Calf
887.png,Leopard
888.png,Giraffe
889.png,Giraffe
89.png,Tapir Calf
890.png,Giraffe
891.png,Deer
892.png,Deer
893.png,Hyena
894.png,Jaguar
895.png,Zebra
896.png,Hyena
897.png,Tiger
898.png,Hyena
899.png,Jaguar
9.png,Leopard
90.png,Hyena
900.png,Hyena
901.png,Deer
902.png,Hyena
903.png,Tapir Calf
904.png,Hyena
905.png,Giraffe
906.png,Hyena
907.png,Zebra
908.png,Hyena
909.png,Giraffe
91.png,Giraffe
910.png,Tiger
911.png,Giraffe
912.png,Tapir Calf
913.png,Hyena
914.png,Tiger
915.png,Leopard
916.png,Tapir Calf
917.png,Jaguar
918.png,Tiger
919.png,Jaguar
92.png,Whale Shark
920.png,Giraffe
921.png,Whale Shark
922.png,Hyena
923.png,Tapir Calf
924.png,Hyena
925.png,Hyena
926.png,Tiger
927.png,Zebra
928.png,Tiger
929.png,Tapir Calf
93.png,Tiger
930.png,Hyena
931.png,Giraffe
932.png,Zebra
933.png,Tiger
934.png,Tapir Calf
935.png,Hyena
936.png,Whale Shark
937.png,Leopard
938.png,Giraffe
939.png,Giraffe
94.png,Leopard
940.png,Giraffe
941.png,Tapir Calf
942.png,Giraffe
943.png,Hyena
944.png,Hyena
945.png,Tiger
946.png,Hyena
947.png,Deer
948.png,Whale Shark
949.png,Cheetah
95.png,Jaguar
950.png,Deer
951.png,Tiger
952.png,Tiger
953.png,Giraffe
954.png,Hyena
955.png,Zebra
956.png,Giraffe
957.png,Hyena
958.png,Tapir Calf
959.png,Giraffe
96.png,Tapir Calf
960.png,Giraffe
961.png,Hyena
962.png,Hyena
963.png,Giraffe
964.png,Giraffe
965.png,Giraffe
966.png,Tiger
967.png,Hyena
968.png,Jaguar
969.png,Deer
97.png,Giraffe
970.png,Tiger
971.png,Hyena
972.png,Hyena
973.png,Deer
974.png,Tapir Calf
975.png,Tapir Calf
976.png,Giraffe
977.png,Hyena
978.png,Hyena
979.png,Hyena
98.png,Hyena
980.png,Tapir Calf
981.png,Hyena
982.png,Hyena
983.png,Giraffe
984.png,Giraffe
985.png,Deer
986.png,Giraffe
987.png,Hyena
988.png,Cheetah
989.png,Cheetah
99.png,Hyena
990.png,Hyena
991.png,Hyena
992.png,Zebra
993.png,Leopard
994.png,Giraffe
995.png,Tiger
996.png,Cheetah
997.png,Tiger
998.png,Tapir Calf
999.png,Hyena
